source_x,source_y,reference_x,reference_y,confidence,residual_px,inlier
334.0000,32.0000,355.8603,34.1131,0.9377,0.8062,1
278.0000,40.0000,298.9658,41.7747,0.9934,0.9582,1
286.0000,40.0000,306.8596,42.0377,0.9849,0.7970,1
294.0000,40.0000,315.2317,42.2360,0.9818,0.4815,1
302.0000,40.0000,323.3957,42.6129,0.8322,0.1172,1
334.0000,40.0000,355.2450,42.0204,0.7877,0.7903,1
278.0000,48.0000,299.0834,50.3467,0.9989,0.3892,1
286.0000,48.0000,307.0677,50.4182,0.9924,0.3673,1
294.0000,48.0000,315.2466,50.1503,0.9886,0.5599,1
302.0000,48.0000,323.6701,50.4393,0.9360,0.4217,1
334.0000,48.0000,355.1102,49.8681,0.6655,0.9715,1
278.0000,56.0000,299.0163,58.0429,0.9969,0.6854,1
286.0000,56.0000,307.2093,58.7019,0.9915,0.1115,1
294.0000,56.0000,315.5323,58.7736,0.9707,0.2085,1
302.0000,56.0000,323.1867,58.2276,0.9917,0.5172,1
278.0000,64.0000,299.3225,66.5735,0.9575,0.0922,1
286.0000,64.0000,307.9131,66.4271,0.5842,0.6451,1
302.0000,64.0000,323.6824,66.2813,0.5113,0.5418,1
278.0000,72.0000,299.1605,74.5887,0.5639,0.1584,1
286.0000,72.0000,307.2889,73.7056,0.6447,0.9718,1
294.0000,72.0000,315.0362,74.7990,0.5067,0.3196,1
350.0000,72.0000,370.4459,74.9630,0.7603,1.0296,1
302.0000,80.0000,322.5460,82.5198,0.7648,0.8317,1
358.0000,80.0000,379.6006,82.1255,0.8691,0.7086,1
318.0000,96.0000,338.2034,98.5770,0.7315,1.2000,1
318.0000,104.0000,338.0664,107.2716,0.6305,1.4327,1
449.0000,48.0000,470.3618,50.8057,0.6356,0.3928,1
465.0000,48.0000,487.0727,50.4902,0.9038,0.6689,1
433.0000,56.0000,454.0354,58.9809,0.7249,0.6155,1
433.0000,96.0000,454.2906,98.5022,0.6289,0.5952,1
425.0000,104.0000,446.5551,107.0960,0.7692,0.1619,1
433.0000,104.0000,454.0393,106.4967,0.8116,0.7759,1
441.0000,104.0000,462.3676,107.0885,0.7363,0.3193,1
473.0000,104.0000,477.6866,120.7565,0.5145,21.8779,0
588.0000,48.0000,609.4135,51.2296,0.7124,0.5931,1
620.0000,48.0000,641.3233,50.8981,0.5409,0.8928,1
580.0000,72.0000,601.7727,74.4838,0.8762,0.8344,1
671.0000,32.0000,693.2071,34.4441,0.9863,1.0529,1
679.0000,32.0000,701.1107,34.8192,0.9699,0.7007,1
687.0000,32.0000,709.1094,34.4260,0.9668,1.1101,1
695.0000,32.0000,716.3552,34.4284,0.9122,1.4266,0
703.0000,32.0000,724.9075,34.4331,0.9909,1.1839,1
711.0000,32.0000,732.7765,35.7135,0.9847,0.5178,1
671.0000,40.0000,693.3245,43.3641,0.9675,0.1889,1
679.0000,40.0000,701.3107,43.2338,0.9858,0.2961,1
687.0000,40.0000,708.7839,43.2879,0.9963,0.5001,1
695.0000,40.0000,716.8675,43.0105,0.9658,0.6512,1
703.0000,40.0000,725.0233,42.9746,0.9897,0.6317,1
711.0000,40.0000,732.2028,43.0963,0.7226,1.1772,1
671.0000,48.0000,692.6598,51.0337,0.8890,0.6978,1
679.0000,48.0000,700.9775,50.9185,0.9970,0.6314,1
687.0000,48.0000,709.2746,51.3035,0.9945,0.2265,1
695.0000,48.0000,716.6168,51.2533,0.6421,0.6877,1
703.0000,48.0000,724.8747,51.4141,0.9414,0.4107,1
671.0000,56.0000,693.2805,59.6881,0.9884,0.2210,1
679.0000,56.0000,700.6653,58.9482,0.9917,0.7754,1
687.0000,56.0000,709.0025,59.0130,0.9815,0.5541,1
703.0000,56.0000,724.2313,59.0175,0.8094,1.1602,1
671.0000,64.0000,693.1694,67.1874,0.9592,0.2976,1
679.0000,64.0000,701.1997,66.8222,0.9614,0.6790,1
687.0000,64.0000,709.3129,67.7656,0.9737,0.2632,1
671.0000,72.0000,693.1810,75.6905,0.9636,0.2093,1
679.0000,72.0000,701.5255,75.3508,0.9814,0.3514,1
679.0000,80.0000,701.7154,83.1458,0.8790,0.6170,1
687.0000,80.0000,709.3450,83.5325,0.9420,0.1221,1
687.0000,88.0000,708.7519,90.8830,0.9096,0.7844,1
695.0000,88.0000,717.6499,90.7888,0.5537,0.8414,1
687.0000,96.0000,708.9913,99.1121,0.9019,0.4579,1
695.0000,96.0000,717.1522,99.0751,0.7910,0.4564,1
703.0000,96.0000,725.1929,99.0221,0.8043,0.5214,1
671.0000,104.0000,693.6233,107.4245,0.6717,0.4359,1
679.0000,104.0000,701.1490,106.4367,0.8138,1.0507,1
687.0000,104.0000,709.7707,107.1847,0.9192,0.6309,1
834.0000,32.0000,856.5689,35.9086,0.6499,0.0727,1
842.0000,32.0000,864.7643,35.6755,0.8564,0.2621,1
850.0000,32.0000,872.2399,35.0795,0.9238,0.8656,1
858.0000,32.0000,880.3106,35.8550,0.7029,0.2997,1
866.0000,32.0000,888.6011,36.3438,0.6550,0.4403,1
874.0000,32.0000,896.6520,36.2042,0.8448,0.2833,1
882.0000,32.0000,905.0082,35.7461,0.6229,0.3951,1
850.0000,40.0000,871.9438,43.1179,0.9767,0.9904,1
858.0000,40.0000,880.8038,44.2796,0.9279,0.4407,1
866.0000,40.0000,888.3041,44.3561,0.5782,0.5578,1
874.0000,40.0000,897.2296,43.7201,0.8780,0.6173,1
882.0000,40.0000,904.4040,44.7060,0.9363,0.8137,1
850.0000,48.0000,872.9474,51.5318,0.8633,0.4876,1
858.0000,48.0000,880.6417,51.9153,0.7908,0.0470,1
866.0000,48.0000,888.7007,51.9009,0.7349,0.0735,1
882.0000,48.0000,905.0878,52.1634,0.9116,0.4837,1
850.0000,56.0000,872.7510,59.2206,0.5986,0.6605,1
866.0000,56.0000,889.0145,60.0208,0.5954,0.4069,1
874.0000,56.0000,896.1683,60.4574,0.9495,0.7250,1
882.0000,56.0000,904.3578,60.4167,0.7542,0.5761,1
890.0000,56.0000,912.9702,60.6317,0.8714,0.7447,1
874.0000,64.0000,896.7111,68.2299,0.8361,0.3278,1
882.0000,64.0000,904.5245,68.5748,0.8980,0.6642,1
890.0000,64.0000,912.4942,68.7177,0.6325,0.7980,1
874.0000,72.0000,896.9476,75.5570,0.8372,0.4607,1
882.0000,72.0000,904.9459,76.2410,0.7836,0.4253,1
890.0000,72.0000,912.7710,76.6308,0.9047,0.6975,1
965.0000,56.0000,987.5787,60.8127,0.5105,0.7611,1
941.0000,72.0000,963.8311,76.5044,0.6083,0.4601,1
949.0000,72.0000,971.8419,76.4072,0.5866,0.3460,1
933.0000,80.0000,956.3151,84.7436,0.6042,0.8955,1
941.0000,80.0000,964.3826,84.6727,0.8838,0.8599,1
973.0000,88.0000,995.5433,92.6310,0.5124,0.6183,1
949.0000,96.0000,971.5795,100.4161,0.5340,0.4335,1
32.0000,147.0000,53.2364,149.8448,0.9665,0.8752,1
40.0000,147.0000,60.5636,149.1824,0.9406,0.2101,1
48.0000,147.0000,68.4730,149.0266,0.8008,0.3368,1
56.0000,147.0000,76.4819,149.0264,0.5714,0.3518,1
64.0000,147.0000,84.8176,149.1486,0.6653,0.0358,1
72.0000,147.0000,93.0952,149.3210,0.8040,0.2819,1
80.0000,147.0000,100.7550,149.9817,0.8282,0.7711,1
88.0000,147.0000,108.8971,149.5542,0.8690,0.3207,1
96.0000,147.0000,117.0807,149.5020,0.9395,0.3127,1
32.0000,155.0000,53.4207,157.9081,0.9624,1.0391,1
40.0000,155.0000,60.7473,157.0040,0.8679,0.1286,1
48.0000,155.0000,69.0980,157.5263,0.9365,0.4904,1
56.0000,155.0000,77.0235,157.4309,0.8955,0.3451,1
72.0000,155.0000,93.1712,157.9419,0.7980,0.8144,1
80.0000,155.0000,100.6155,157.6065,0.8242,0.4613,1
88.0000,155.0000,108.6578,158.0846,0.7377,0.8810,1
96.0000,155.0000,116.9424,158.1364,0.9056,0.8898,1
104.0000,155.0000,124.8791,157.2472,0.6753,0.0379,1
32.0000,163.0000,52.8140,165.7491,0.9355,0.6411,1
40.0000,163.0000,61.3786,165.4683,0.9899,0.6986,1
48.0000,163.0000,69.4853,165.6478,0.8414,0.8610,1
56.0000,163.0000,76.9506,165.4881,0.6951,0.3580,1
64.0000,163.0000,85.5149,165.1756,0.6333,0.6920,1
72.0000,163.0000,93.3091,165.0111,0.8727,0.5029,1
80.0000,163.0000,100.6326,165.6336,0.9443,0.4791,1
88.0000,163.0000,109.1193,165.7326,0.9409,0.5597,1
96.0000,163.0000,117.2681,165.4963,0.9768,0.4499,1
104.0000,163.0000,125.7352,165.7487,0.9373,0.9556,1
32.0000,171.0000,52.8840,173.4685,0.5219,0.3843,1
48.0000,171.0000,69.2412,172.9039,0.8337,0.5125,1
72.0000,171.0000,92.7657,173.8361,0.5913,0.6490,1
80.0000,171.0000,101.3546,172.9118,0.9837,0.5773,1
88.0000,171.0000,109.5794,173.6079,0.9672,0.7997,1
96.0000,171.0000,116.9371,173.1961,0.9795,0.0618,1
104.0000,171.0000,124.9720,174.1152,0.9830,0.8588,1
40.0000,179.0000,60.6527,181.4809,0.5280,0.3778,1
48.0000,179.0000,69.4968,181.1957,0.7035,0.7117,1
72.0000,179.0000,93.1702,181.9763,0.9082,0.8536,1
80.0000,179.0000,101.5229,182.0668,0.8398,1.0874,1
88.0000,179.0000,109.1313,181.9339,0.9526,0.7558,1
96.0000,179.0000,116.9900,181.2639,0.9885,0.0977,1
104.0000,179.0000,124.7515,181.5665,0.9926,0.3510,1
48.0000,187.0000,68.7909,189.7762,0.6967,0.6410,1
64.0000,187.0000,85.1798,188.9592,0.9277,0.4130,1
